ltable_id,rtable_id
1219,14406
1104,1397
491,19957
567,12173
2072,4159
2462,8175
2462,14117
1334,3190
1508,19514
1635,20243
2365,8618
681,20251
448,13173
457,8018
950,15942
2016,12006
1615,12973
624,4039
302,16641
1117,17314
848,602
2142,5920
1498,5234
1377,12161
910,8105
102,11759
1071,16126
1777,3750
2059,5734
2260,13722
1652,14384
1868,4494
1943,15780
547,9295
872,15268
1200,19354
1210,1324
1441,15284
1673,6521
1909,11284
2273,5255
2527,13282
1044,3009
2371,10923
2476,6955
1666,6194
176,4854
672,2944
710,2945
1973,3155
1854,10030
6,9015
512,9060
908,13023
1038,19035
1074,20740
1237,6974
1218,5267
2522,3324
973,21568
1771,21207
2216,16912
2387,20821
468,18940
1509,9332
639,10128
1542,10127
720,13398
129,8638
319,21483
376,9389
2029,14035
218,5046
375,5041
2540,5175
2128,18103
600,12881
1504,4817
1614,11350
604,15829
475,781
749,15430
1458,16055
1980,1502
2353,13476
64,8391
184,2959
1229,5842
1365,18372
2094,15247
2191,16173
961,14317
360,11566
803,4121
903,16989
1513,1592
1577,13540
1619,9585
1833,9342
2245,3566
199,5511
114,9223
1208,3254
1208,16935
1473,3250
1813,1607
1813,3253
2368,15351
1657,16332
1834,16331
818,979
1564,6914
1468,2293
429,3273
1141,9253
711,7671
892,21096
362,3235
455,19347
2266,1616
934,13148
338,13873
1166,13873
65,11129
356,21591
396,7144
663,7135
2093,16311
919,17371
589,15495
1891,15304
1966,656
259,10734
1413,2788
1656,14169
1888,6729
469,2720
1121,14109
1165,3695
1209,9717
2151,7338
637,15920
502,11435
652,6708
687,20212
765,15415
906,3469
975,13422
1011,13413
1119,3471
1573,5415
1589,2645
1953,11438
2163,8469
324,19773
599,556
722,12995
1907,10481
2047,8524
80,6526
2378,11830
780,14278
828,10887
1391,2976
522,14014
322,9990
53,17892
625,18443
1177,20811
1178,18153
2471,19283
759,8381
805,14294
1369,14864
2326,1681
545,11634
545,11636
1190,10706
346,8304
416,19475
480,376
1066,8297
1732,5720
1242,2465
1984,1120
239,10617
284,2675
2089,7048
221,16624
548,3414
649,13376
1915,2096
2440,6643
2485,8095
2194,5101
370,15071
916,8910
1102,7853
714,16478
1301,6494
717,20106
1976,12093
1792,8494
39,10872
1198,14823
2209,16573
2179,18387
2154,11211
1263,22051
699,4283
699,14265
1457,8346
1989,18001
1938,19138
1545,21374
312,13299
378,21690
299,4644
1903,10674
2211,4646
528,21347
1992,1274
2018,5207
636,9151
2167,14880
9,2456
850,8443
2501,4362
611,8429
769,6362
750,10530
2359,19576
2190,2310
936,14004
1937,8500
678,8962
281,7824
128,2701
399,712
1024,12674
1095,2702
997,4379
2422,8663
745,11810
1022,12116
1129,14565
2188,2671
2519,2668
623,14735
191,1243
191,11197
1997,12451
958,17452
1975,8180
1437,11704
